Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-30 00:00:00-04:00,2.4,2.52,2.25,2.3,32200,0.0,0.0
2025-10-29 00:00:00-04:00,2.38,2.57,2.33,2.33,29900,0.0,0.0
2025-10-28 00:00:00-04:00,2.6,2.7,2.36,2.45,23800,0.0,0.0
2025-10-27 00:00:00-04:00,2.46,2.64,2.46,2.63,27900,0.0,0.0
2025-10-24 00:00:00-04:00,2.42,2.64,2.42,2.53,7400,0.0,0.0
2025-10-23 00:00:00-04:00,2.27,2.68,2.25,2.52,33400,0.0,0.0
2025-10-22 00:00:00-04:00,2.3,2.44,2.25,2.38,14400,0.0,0.0
2025-10-21 00:00:00-04:00,2.3,2.43,2.25,2.31,16800,0.0,0.0
2025-10-20 00:00:00-04:00,2.38,2.48,2.24,2.3,19800,0.0,0.0
2025-10-17 00:00:00-04:00,2.19,2.57,2.15,2.23,21500,0.0,0.0
2025-10-16 00:00:00-04:00,2.53,2.53,2.1,2.15,27500,0.0,0.0
2025-10-15 00:00:00-04:00,2.52,2.66,2.27,2.35,36600,0.0,0.0
2025-10-14 00:00:00-04:00,2.78,2.93,2.57,2.6,45800,0.0,0.0
2025-10-13 00:00:00-04:00,2.65,3.07,2.5,2.97,267500,0.0,0.0
2025-10-10 00:00:00-04:00,2.4,2.66,2.38,2.55,640200,0.0,0.0
2025-10-09 00:00:00-04:00,2.42,2.57,2.32,2.48,14200,0.0,0.0
2025-10-08 00:00:00-04:00,2.55,2.55,2.4,2.49,20800,0.0,0.0
2025-10-07 00:00:00-04:00,2.42,2.6,2.34,2.58,28300,0.0,0.0
2025-10-06 00:00:00-04:00,2.32,2.6,2.28,2.42,31000,0.0,0.0
2025-10-03 00:00:00-04:00,2.34,2.39,2.25,2.32,19400,0.0,0.0
2025-10-02 00:00:00-04:00,2.25,2.34,2.25,2.33,4400,0.0,0.0
2025-10-01 00:00:00-04:00,2.19,2.5,2.19,2.32,20000,0.0,0.0
2025-09-30 00:00:00-04:00,2.24,2.28,2.18,2.28,12800,0.0,0.0
2025-09-29 00:00:00-04:00,2.28,2.33,2.16,2.27,30500,0.0,0.0
2025-09-26 00:00:00-04:00,2.25,2.39,2.12,2.33,61700,0.0,0.0
2025-09-25 00:00:00-04:00,2.46,2.46,2.25,2.34,161900,0.0,0.0
2025-09-24 00:00:00-04:00,2.36,2.54,2.2,2.35,65600,0.0,0.0
2025-09-23 00:00:00-04:00,2.4,2.5,2.27,2.43,48900,0.0,0.0
2025-09-22 00:00:00-04:00,2.4,2.5,2.35,2.49,11200,0.0,0.0
2025-09-19 00:00:00-04:00,2.43,2.49,2.25,2.43,36300,0.0,0.0
2025-09-18 00:00:00-04:00,2.44,2.57,2.3,2.4,76100,0.0,0.0
2025-09-17 00:00:00-04:00,2.52,2.69,2.42,2.6,198500,0.0,0.0
2025-09-16 00:00:00-04:00,2.51,2.52,2.28,2.36,18700,0.0,0.0
2025-09-15 00:00:00-04:00,2.42,2.85,2.41,2.52,24100,0.0,0.0
2025-09-12 00:00:00-04:00,1.98,2.47,1.85,2.41,21100,0.0,0.0
2025-09-11 00:00:00-04:00,2.45,2.55,2.41,2.47,9200,0.0,0.0
2025-09-10 00:00:00-04:00,2.61,2.61,2.34,2.48,35200,0.0,0.0
2025-09-09 00:00:00-04:00,2.23,2.6,2.08,2.51,119000,0.0,0.0
2025-09-08 00:00:00-04:00,2.45,2.88,2.2,2.29,121200,0.0,0.0
2025-09-05 00:00:00-04:00,2.02,2.42,2.02,2.42,68800,0.0,0.0
2025-09-04 00:00:00-04:00,2.0,2.13,1.82,2.07,70700,0.0,0.0
2025-09-03 00:00:00-04:00,2.2,2.37,1.82,1.95,95900,0.0,0.0
2025-09-02 00:00:00-04:00,2.8,2.8,2.11,2.27,224100,0.0,0.0
2025-08-29 00:00:00-04:00,3.03,3.16,2.61,2.96,583300,0.0,0.0
2025-08-28 00:00:00-04:00,3.4,3.6,2.8,2.96,781700,0.0,0.0
