Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-09 00:00:00-04:00,302.9,337.17,297.14,336.52,1254600,0.0,0.0
2025-04-08 00:00:00-04:00,340.59,340.59,302.94,307.71,1162000,0.0,0.0
2025-04-07 00:00:00-04:00,322.68,339.24,308.84,325.8,1073800,0.0,0.0
2025-04-04 00:00:00-04:00,338.53,342.85,321.4,324.92,933600,0.0,0.0
2025-04-03 00:00:00-04:00,350.0,353.76,342.33,345.12,1014500,0.0,0.0
2025-04-02 00:00:00-04:00,352.42,363.3,352.38,362.64,526400,0.0,0.0
2025-04-01 00:00:00-04:00,367.39,367.8,354.39,356.0,561000,0.0,0.0
2025-03-31 00:00:00-04:00,364.31,370.35,355.52,368.57,513000,0.0,0.0
2025-03-28 00:00:00-04:00,370.87,372.04,360.61,362.16,277700,0.0,0.0
2025-03-27 00:00:00-04:00,366.67,373.86,363.51,370.59,343800,0.0,0.0
2025-03-26 00:00:00-04:00,373.79,375.33,364.6,367.79,280000,0.0,0.0
2025-03-25 00:00:00-04:00,374.89,376.09,365.91,368.53,456900,0.0,0.0
2025-03-24 00:00:00-04:00,369.53,377.52,366.79,373.3,383400,0.0,0.0
2025-03-21 00:00:00-04:00,361.07,366.43,355.0,365.46,865000,0.0,0.0
2025-03-20 00:00:00-04:00,370.45,371.42,362.77,363.22,462800,0.0,0.0
2025-03-19 00:00:00-04:00,381.17,381.8,371.29,371.34,458700,0.0,0.0
2025-03-18 00:00:00-04:00,377.87,382.23,374.22,382.15,484900,0.0,0.0
2025-03-17 00:00:00-04:00,376.15,383.99,376.15,378.92,359800,0.0,0.0
2025-03-14 00:00:00-04:00,367.9,379.0,360.31,377.15,379000,0.0,0.0
2025-03-13 00:00:00-04:00,371.11,376.45,363.65,364.44,425200,0.0,0.0
2025-03-12 00:00:00-04:00,380.82,381.73,370.27,373.13,371900,0.0,0.0
2025-03-11 00:00:00-04:00,392.45,392.45,377.69,378.85,656500,0.0,0.0
2025-03-10 00:00:00-04:00,389.55,399.99,387.55,390.29,531700,0.0,0.0
2025-03-07 00:00:00-05:00,384.09,396.67,381.26,392.99,502100,0.0,0.0
2025-03-06 00:00:00-05:00,381.85,394.66,379.86,386.33,645700,0.0,0.0
2025-03-05 00:00:00-05:00,364.8,382.48,364.8,378.89,648200,0.0,0.0
2025-03-04 00:00:00-05:00,368.4,373.24,361.45,368.05,610200,0.0,0.0
2025-03-03 00:00:00-05:00,378.81,379.29,369.88,371.79,487000,0.0,0.0
2025-02-28 00:00:00-05:00,375.5,379.84,369.41,377.34,699500,0.0,0.0
2025-02-27 00:00:00-05:00,381.18,381.5,362.71,373.06,531800,0.0,0.0
2025-02-26 00:00:00-05:00,381.04,387.69,377.57,384.98,660800,0.0,0.0
2025-02-25 00:00:00-05:00,379.79,386.12,375.11,380.83,519600,0.0,0.0
2025-02-24 00:00:00-05:00,374.85,385.35,370.02,379.27,395400,0.0,0.0
2025-02-21 00:00:00-05:00,382.12,384.1,372.93,374.82,272100,0.0,0.0
2025-02-20 00:00:00-05:00,380.0,385.0,379.35,380.81,311500,0.0,0.0
2025-02-19 00:00:00-05:00,376.39,379.43,374.9,377.97,553500,0.0,0.0
2025-02-18 00:00:00-05:00,368.02,378.46,363.48,376.29,590200,0.0,0.0
2025-02-14 00:00:00-05:00,381.06,381.06,368.55,369.73,471600,0.0,0.0
2025-02-13 00:00:00-05:00,387.64,388.43,372.86,379.11,790000,0.0,0.0
2025-02-12 00:00:00-05:00,388.34,388.35,368.34,381.91,1176300,0.0,0.0
2025-02-11 00:00:00-05:00,403.85,412.19,400.95,405.29,624000,0.0,0.0
2025-02-10 00:00:00-05:00,411.0,411.0,402.69,407.58,391100,0.0,0.0
2025-02-07 00:00:00-05:00,412.45,415.11,402.47,409.5,377200,0.0,0.0
2025-02-06 00:00:00-05:00,414.44,417.1,409.17,410.95,365200,0.0,0.0
2025-02-05 00:00:00-05:00,414.07,415.9,409.52,414.09,279800,0.0,0.0
2025-02-04 00:00:00-05:00,410.98,413.08,405.0,410.4,303800,0.0,0.0
2025-02-03 00:00:00-05:00,407.71,415.74,403.19,411.19,354200,0.0,0.0
2025-01-31 00:00:00-05:00,415.61,423.0,411.0,415.48,330000,0.0,0.0
2025-01-30 00:00:00-05:00,410.4,423.56,410.4,417.28,401100,0.0,0.0
2025-01-29 00:00:00-05:00,409.55,412.0,402.52,404.17,352300,0.0,0.0
2025-01-28 00:00:00-05:00,417.47,419.28,412.26,413.48,398500,0.0,0.0
2025-01-27 00:00:00-05:00,412.7,415.19,409.4,414.44,269900,0.0,0.0
2025-01-24 00:00:00-05:00,412.16,414.2,409.32,411.3,278500,0.0,0.0
2025-01-23 00:00:00-05:00,409.37,413.68,399.53,412.8,323500,0.0,0.0
2025-01-22 00:00:00-05:00,411.62,413.0,408.04,408.35,500900,0.0,0.0
2025-01-21 00:00:00-05:00,405.74,416.24,402.22,413.81,670200,0.0,0.0
2025-01-17 00:00:00-05:00,406.71,411.51,401.62,404.0,447800,0.0,0.0
2025-01-16 00:00:00-05:00,398.37,406.14,387.56,405.43,344000,0.0,0.0
2025-01-15 00:00:00-05:00,404.5,411.58,383.71,397.7,683500,0.0,0.0
2025-01-14 00:00:00-05:00,400.87,406.78,395.24,404.93,656100,0.0,0.0
2025-01-13 00:00:00-05:00,381.21,401.0,381.21,399.87,621600,0.0,0.0
2025-01-10 00:00:00-05:00,369.49,382.85,369.49,380.35,585500,0.0,0.0
2025-01-08 00:00:00-05:00,376.28,376.79,371.19,374.2,452600,0.0,0.0
2025-01-07 00:00:00-05:00,378.08,385.34,374.81,377.03,250200,0.0,0.0
2025-01-06 00:00:00-05:00,370.8,380.9,369.83,377.1,346300,0.0,0.0
2025-01-03 00:00:00-05:00,369.72,373.79,367.74,371.76,285000,0.0,0.0
2025-01-02 00:00:00-05:00,373.06,375.56,365.98,368.26,343600,0.0,0.0
2024-12-31 00:00:00-05:00,370.45,375.94,369.76,370.98,180100,0.0,0.0
2024-12-30 00:00:00-05:00,370.85,373.7,367.21,370.94,204500,0.0,0.0
2024-12-27 00:00:00-05:00,374.66,377.12,372.33,374.6,220300,0.0,0.0
2024-12-26 00:00:00-05:00,369.9,377.7,368.83,376.78,310800,0.0,0.0
2024-12-24 00:00:00-05:00,369.26,373.55,367.16,373.15,105600,0.0,0.0
2024-12-23 00:00:00-05:00,363.56,370.0,361.19,369.76,300000,0.0,0.0
2024-12-20 00:00:00-05:00,357.84,369.62,357.84,368.16,1737300,0.0,0.0
2024-12-19 00:00:00-05:00,359.17,361.99,354.37,360.63,452000,0.0,0.0
2024-12-18 00:00:00-05:00,373.81,378.2,359.98,360.43,577000,0.0,0.0
2024-12-17 00:00:00-05:00,371.4,379.0,371.15,373.72,599300,0.0,0.0
2024-12-16 00:00:00-05:00,375.09,378.87,372.3,374.01,577500,0.0,0.0
2024-12-13 00:00:00-05:00,382.22,383.11,373.41,378.26,307900,0.0,0.0
2024-12-12 00:00:00-05:00,384.43,386.69,381.41,383.03,343400,0.0,0.0
2024-12-11 00:00:00-05:00,394.4,397.02,384.4,385.27,295400,0.0,0.0
2024-12-10 00:00:00-05:00,394.33,395.76,385.41,390.35,490100,0.0,0.0
2024-12-09 00:00:00-05:00,385.09,392.68,383.79,392.01,345200,0.0,0.0
2024-12-06 00:00:00-05:00,383.95,386.76,380.6,384.05,416800,0.0,0.0
2024-12-05 00:00:00-05:00,388.65,395.5,381.27,381.33,415900,0.0,0.0
2024-12-04 00:00:00-05:00,385.94,395.39,382.12,391.35,663500,0.0,0.0
2024-12-03 00:00:00-05:00,385.5,388.0,380.52,387.0,416100,0.0,0.0
2024-12-02 00:00:00-05:00,383.28,387.49,380.14,387.1,327000,0.0,0.0
2024-11-29 00:00:00-05:00,384.14,385.55,382.58,384.72,238300,0.0,0.0
2024-11-27 00:00:00-05:00,390.43,395.44,385.02,386.57,914100,0.0,0.0
2024-11-26 00:00:00-05:00,376.76,389.26,372.15,388.15,1017500,0.0,0.0
2024-11-25 00:00:00-05:00,377.31,385.03,373.19,378.16,861400,0.0,0.0
2024-11-22 00:00:00-05:00,367.89,374.21,365.86,373.47,366300,0.0,0.0
2024-11-21 00:00:00-05:00,359.42,368.57,357.41,368.5,430300,0.0,0.0
2024-11-20 00:00:00-05:00,343.39,358.04,340.62,357.77,688900,0.0,0.0
2024-11-19 00:00:00-05:00,351.57,353.51,344.45,344.71,761000,0.0,0.0
2024-11-18 00:00:00-05:00,357.63,361.03,351.93,355.47,463100,0.0,0.0
2024-11-15 00:00:00-05:00,377.06,377.23,357.13,358.46,689700,0.0,0.0
2024-11-14 00:00:00-05:00,383.43,384.16,376.2,376.72,473800,0.0,0.0
2024-11-13 00:00:00-05:00,385.89,388.0,382.07,385.62,352800,0.0,0.0
2024-11-12 00:00:00-05:00,381.55,386.46,380.63,385.79,462100,0.0,0.0
2024-11-11 00:00:00-05:00,387.32,387.32,379.77,380.74,432400,0.0,0.0
2024-11-08 00:00:00-05:00,383.58,388.46,378.48,384.51,361900,0.0,0.0
2024-11-07 00:00:00-05:00,390.0,393.15,384.85,386.12,401800,0.0,0.0
2024-11-06 00:00:00-05:00,393.38,393.38,374.02,386.69,669000,0.0,0.0
2024-11-05 00:00:00-05:00,386.5,389.45,382.12,387.17,533000,0.0,0.0
2024-11-04 00:00:00-05:00,387.0,391.0,381.12,387.34,890400,0.0,0.0
2024-11-01 00:00:00-04:00,375.0,389.35,372.15,387.21,1905900,0.0,0.0
2024-10-31 00:00:00-04:00,324.9,326.78,321.94,323.11,660200,0.0,0.0
2024-10-30 00:00:00-04:00,327.64,334.03,326.16,326.59,459100,0.0,0.0
2024-10-29 00:00:00-04:00,323.43,326.89,321.32,324.67,298000,0.0,0.0
2024-10-28 00:00:00-04:00,328.95,330.72,324.62,325.51,373700,0.0,0.0
2024-10-25 00:00:00-04:00,327.82,329.87,324.06,324.55,206800,0.0,0.0
2024-10-24 00:00:00-04:00,333.49,334.73,327.21,327.3,271300,0.0,0.0
2024-10-23 00:00:00-04:00,338.34,339.8,329.67,333.28,386700,0.0,0.0
2024-10-22 00:00:00-04:00,340.85,342.84,335.64,339.43,324400,0.0,0.0
2024-10-21 00:00:00-04:00,346.55,348.43,341.22,345.5,400800,0.0,0.0
2024-10-18 00:00:00-04:00,349.65,353.41,346.97,348.45,418800,0.0,0.0
2024-10-17 00:00:00-04:00,358.31,362.79,340.91,347.31,542600,0.0,0.0
2024-10-16 00:00:00-04:00,356.37,359.25,349.92,353.97,470200,0.0,0.0
2024-10-15 00:00:00-04:00,358.06,364.6,357.5,360.0,394500,0.0,0.0
2024-10-14 00:00:00-04:00,356.75,358.49,354.88,357.25,182300,0.0,0.0
2024-10-11 00:00:00-04:00,354.53,360.19,353.21,357.97,270500,0.0,0.0
2024-10-10 00:00:00-04:00,354.25,357.61,350.46,352.64,249700,0.0,0.0
2024-10-09 00:00:00-04:00,359.66,359.99,354.21,356.83,240400,0.0,0.0
2024-10-08 00:00:00-04:00,361.09,361.79,356.16,358.91,519800,0.0,0.0
2024-10-07 00:00:00-04:00,349.73,351.21,344.78,349.92,279900,0.0,0.0
2024-10-04 00:00:00-04:00,358.44,358.44,350.03,352.51,576400,0.0,0.0
2024-10-03 00:00:00-04:00,353.25,358.31,351.12,354.4,435700,0.0,0.0
2024-10-02 00:00:00-04:00,356.67,360.06,354.04,355.05,349300,0.0,0.0
2024-10-01 00:00:00-04:00,360.08,360.57,351.75,358.33,460200,0.0,0.0
2024-09-30 00:00:00-04:00,355.71,362.65,355.14,359.89,418600,0.0,0.0
2024-09-27 00:00:00-04:00,356.3,363.55,354.49,357.33,689500,0.0,0.0
2024-09-26 00:00:00-04:00,344.57,356.02,342.2,355.68,465200,0.0,0.0
2024-09-25 00:00:00-04:00,344.08,344.08,337.72,340.0,553900,0.0,0.0
2024-09-24 00:00:00-04:00,342.47,350.24,340.73,343.84,419700,0.0,0.0
2024-09-23 00:00:00-04:00,338.37,340.51,333.87,339.71,258900,0.0,0.0
2024-09-20 00:00:00-04:00,334.83,337.49,327.93,336.56,610100,0.0,0.0
2024-09-19 00:00:00-04:00,340.53,342.65,337.2,338.45,283000,0.0,0.0
2024-09-18 00:00:00-04:00,329.61,339.99,327.55,333.37,284500,0.0,0.0
2024-09-17 00:00:00-04:00,330.65,331.33,325.02,328.97,269500,0.0,0.0
2024-09-16 00:00:00-04:00,328.61,331.55,325.4,328.65,268000,0.0,0.0
2024-09-13 00:00:00-04:00,322.7,327.96,322.7,325.86,292900,0.0,0.0
2024-09-12 00:00:00-04:00,326.63,327.15,314.84,322.08,372700,0.0,0.0
2024-09-11 00:00:00-04:00,327.66,327.77,320.87,326.73,350200,0.0,0.0
2024-09-10 00:00:00-04:00,331.89,331.89,324.05,328.16,369900,0.0,0.0
2024-09-09 00:00:00-04:00,332.46,334.01,330.17,332.1,347000,0.0,0.0
2024-09-06 00:00:00-04:00,331.37,334.94,327.3,328.84,337800,0.0,0.0
2024-09-05 00:00:00-04:00,333.07,333.14,325.74,331.31,301300,0.0,0.0
2024-09-04 00:00:00-04:00,339.46,341.05,329.76,331.56,355800,0.0,0.0
2024-09-03 00:00:00-04:00,342.66,348.21,337.25,339.75,240500,0.0,0.0
2024-08-30 00:00:00-04:00,345.14,347.43,340.6,346.35,307800,0.0,0.0
2024-08-29 00:00:00-04:00,342.89,347.41,341.28,344.71,209800,0.0,0.0
2024-08-28 00:00:00-04:00,339.58,343.12,338.32,340.94,209900,0.0,0.0
2024-08-27 00:00:00-04:00,336.76,337.76,332.91,336.77,208000,0.0,0.0
2024-08-26 00:00:00-04:00,343.3,343.9,336.38,336.59,189700,0.0,0.0
2024-08-23 00:00:00-04:00,338.99,343.34,336.92,342.42,157100,0.0,0.0
2024-08-22 00:00:00-04:00,340.0,344.99,335.01,336.09,309300,0.0,0.0
2024-08-21 00:00:00-04:00,336.81,338.73,334.15,337.34,218700,0.0,0.0
